Eurofins EAG Materials Science, LLC
:Sample 2829
2/17/2026
Drawn Curves,8
Num of Cycles,273

H,,C,,O,,F,,N,,AL->,,Si->,,Ta->
20.858,7.0693E+20,20.908,3.5002E+19,20.958,9.9906E+18,21.068,6.4231E+17,21.118,2.6492E+22,20.618,9.5214E+16,20.698,1.8982E+18,21.048,3.4142E+22
21.594,6.9971E+20,21.644,3.0671E+19,21.694,9.8255E+18,21.804,5.8050E+17,21.854,2.6771E+22,21.354,1.0731E+17,21.434,2.0030E+18,21.784,3.7019E+22
22.329,5.6629E+20,22.379,3.0260E+19,22.429,1.0224E+19,22.539,5.1270E+17,22.589,2.5432E+22,22.089,1.0877E+17,22.169,1.9860E+18,22.519,3.4969E+22
23.064,5.0777E+20,23.114,3.1778E+19,23.164,9.6709E+18,23.274,4.5636E+17,23.324,2.5798E+22,22.824,1.0429E+17,22.904,1.8177E+18,23.254,3.4536E+22
23.799,5.0389E+20,23.849,2.9541E+19,23.899,9.3198E+18,24.009,4.2086E+17,24.059,2.5844E+22,23.559,1.0619E+17,23.639,2.0061E+18,23.989,3.5230E+22
24.535,4.1975E+20,24.585,3.0152E+19,24.635,9.4552E+18,24.745,3.6362E+17,24.795,2.5653E+22,24.295,9.9497E+16,24.375,2.0412E+18,24.725,3.5574E+22
25.27,3.5321E+20,25.32,2.9102E+19,25.37,9.3721E+18,25.48,3.2284E+17,25.53,2.5911E+22,25.03,1.0025E+17,25.11,2.0393E+18,25.46,3.3746E+22
26.005,2.9318E+20,26.055,2.9111E+19,26.105,9.5239E+18,26.215,3.1077E+17,26.265,2.6324E+22,25.765,9.9859E+16,25.845,1.9067E+18,26.195,3.5326E+22
26.741,2.4680E+20,26.791,3.1502E+19,26.841,9.3098E+18,26.951,2.9891E+17,27.001,2.5353E+22,26.501,1.0266E+17,26.581,1.8550E+18,26.931,3.3255E+22
27.476,2.2981E+20,27.526,3.1960E+19,27.576,1.0136E+19,27.686,2.4465E+17,27.736,2.5567E+22,27.236,9.6993E+16,27.316,2.0554E+18,27.666,3.7317E+22
28.211,1.9503E+20,28.261,3.1640E+19,28.311,9.3928E+18,28.421,2.1260E+17,28.471,2.5619E+22,27.971,9.6031E+16,28.051,1.9917E+18,28.401,3.5818E+22
28.946,1.6163E+20,28.996,3.0334E+19,29.046,9.7912E+18,29.156,2.1029E+17,29.206,2.2929E+22,28.706,9.8323E+16,28.786,1.8661E+18,29.136,3.5600E+22
29.682,1.5192E+20,29.732,2.7920E+19,29.782,1.0987E+19,29.892,1.8491E+17,29.942,2.7794E+22,29.442,1.0559E+17,29.522,2.2024E+18,29.872,3.4121E+22
30.417,1.2812E+20,30.467,2.8983E+19,30.517,1.0134E+19,30.627,1.4891E+17,30.677,2.6377E+22,30.177,9.4070E+16,30.257,1.8449E+18,30.607,3.4596E+22
31.152,1.2499E+20,31.202,2.9652E+19,31.252,1.1399E+19,31.362,1.5342E+17,31.412,2.2144E+22,30.912,1.0159E+17,30.992,2.0464E+18,31.342,3.4043E+22
31.888,1.0253E+20,31.938,3.0549E+19,31.988,1.2804E+19,32.098,1.7431E+17,32.148,2.5231E+22,31.648,1.0460E+17,31.728,2.1375E+18,32.078,3.3981E+22
32.623,9.6448E+19,32.673,3.0985E+19,32.723,2.2797E+19,32.833,1.8309E+17,32.883,2.2939E+22,32.383,9.1922E+16,32.463,1.9512E+18,32.813,3.8007E+22
33.358,8.1107E+19,33.408,3.1514E+19,33.458,5.0267E+19,33.568,1.9954E+17,33.618,2.4532E+22,33.118,1.0156E+17,33.198,1.9508E+18,33.548,3.2259E+22
34.094,7.4809E+19,34.144,2.8745E+19,34.194,1.4312E+20,34.304,2.8286E+17,34.354,2.6449E+22,33.854,9.9396E+16,33.934,1.8399E+18,34.284,3.3827E+22
34.829,6.7703E+19,34.879,3.1550E+19,34.929,3.7754E+20,35.039,4.1448E+17,35.089,2.6423E+22,34.589,1.1080E+17,34.669,1.9557E+18,35.019,3.5942E+22
35.564,5.9755E+19,35.614,2.9935E+19,35.664,9.1623E+20,35.774,6.5920E+17,35.824,2.4408E+22,35.324,9.6413E+16,35.404,1.9239E+18,35.754,3.3812E+22
36.299,6.1078E+19,36.349,2.7762E+19,36.399,1.8913E+21,36.509,8.8501E+17,36.559,2.2536E+22,36.059,1.0354E+17,36.139,2.0731E+18,36.489,3.4330E+22
37.035,5.2366E+19,37.085,2.6535E+19,37.135,3.7461E+21,37.245,1.3399E+18,37.295,2.2131E+22,36.795,1.1064E+17,36.875,1.8465E+18,37.225,3.0410E+22
37.77,4.8964E+19,37.82,2.3775E+19,37.87,7.0690E+21,37.98,2.0850E+18,38.03,2.0885E+22,37.53,1.0587E+17,37.61,2.0034E+18,37.96,2.9033E+22
38.505,4.7087E+19,38.555,2.0467E+19,38.605,1.0668E+22,38.715,2.4684E+18,38.765,1.9418E+22,38.265,1.0075E+17,38.345,2.1051E+18,38.695,2.4900E+22
39.241,4.0291E+19,39.291,1.8229E+19,39.341,1.6825E+22,39.451,3.5485E+18,39.501,1.4984E+22,39.001,9.9969E+16,39.081,2.0240E+18,39.431,1.9577E+22
39.976,3.8780E+19,40.026,1.5714E+19,40.076,2.3162E+22,40.186,4.0641E+18,40.236,1.1030E+22,39.736,1.0265E+17,39.816,1.9634E+18,40.166,1.7507E+22
40.711,3.2180E+19,40.761,1.1560E+19,40.811,2.9896E+22,40.921,4.6489E+18,40.971,8.1252E+21,40.471,1.0873E+17,40.551,2.0452E+18,40.901,1.1203E+22
41.446,3.0999E+19,41.496,9.1838E+18,41.546,3.3352E+22,41.656,5.3198E+18,41.706,5.3112E+21,41.206,1.0146E+17,41.286,2.0125E+18,41.636,7.7388E+21
42.182,2.6726E+19,42.232,6.7149E+18,42.282,4.0409E+22,42.392,6.7242E+18,42.442,3.1946E+21,41.942,9.6274E+16,42.022,1.9709E+18,42.372,4.5270E+21
42.917,2.8181E+19,42.967,4.6394E+18,43.017,4.2530E+22,43.127,7.5309E+18,43.177,1.6014E+21,42.677,1.0924E+17,42.757,1.8424E+18,43.107,2.4754E+21
43.652,2.7446E+19,43.702,3.7339E+18,43.752,4.0463E+22,43.862,8.0897E+18,43.912,8.2322E+20,43.412,1.0495E+17,43.492,2.1063E+18,43.842,1.2798E+21
44.388,2.5981E+19,44.438,2.2933E+18,44.488,4.5740E+22,44.598,7.4286E+18,44.648,3.5811E+20,44.148,1.0303E+17,44.228,1.9817E+18,44.578,4.9030E+20
45.123,2.7471E+19,45.173,1.5096E+18,45.223,4.7196E+22,45.333,7.9378E+18,45.383,1.5464E+20,44.883,9.2230E+16,44.963,1.9214E+18,45.313,2.2079E+20
45.858,2.4122E+19,45.908,9.6359E+17,45.958,4.5879E+22,46.068,7.6084E+18,46.118,4.8300E+19,45.618,1.0355E+17,45.698,1.9581E+18,46.048,7.9696E+19
46.594,2.3558E+19,46.644,7.8107E+17,46.694,4.6883E+22,46.804,7.7899E+18,46.854,1.5930E+19,46.354,9.8041E+16,46.434,1.9741E+18,46.784,2.5096E+19
47.329,2.3990E+19,47.379,6.3415E+17,47.429,4.0286E+22,47.539,8.2573E+18,47.589,5.0455E+18,47.089,1.0253E+17,47.169,2.0625E+18,47.519,7.8231E+18
48.064,2.2352E+19,48.114,5.3475E+17,48.164,4.2909E+22,48.274,7.3439E+18,48.324,1.2713E+18,47.824,9.4964E+16,47.904,2.0630E+18,48.254,2.0220E+18
48.799,2.3528E+19,48.849,5.2002E+17,48.899,4.3474E+22,49.009,7.3832E+18,49.059,5.6610E+17,48.559,1.0144E+17,48.639,2.1580E+18,48.989,8.7983E+17
49.535,2.2101E+19,49.585,5.0751E+17,49.635,4.4935E+22,49.745,7.5091E+18,49.795,3.6225E+17,49.295,1.0861E+17,49.375,1.8928E+18,49.725,5.5523E+17
50.27,2.3669E+19,50.32,5.2025E+17,50.37,4.6103E+22,50.48,7.7392E+18,50.53,2.7141E+17,50.03,1.1129E+17,50.11,1.9857E+18,50.46,5.3247E+17
51.005,2.2666E+19,51.055,5.1794E+17,51.105,4.4068E+22,51.215,7.4351E+18,51.265,2.9580E+17,50.765,9.6598E+16,50.845,1.9948E+18,51.195,5.7839E+17
51.741,2.0833E+19,51.791,4.7502E+17,51.841,4.4679E+22,51.951,8.1737E+18,52.001,3.1321E+17,51.501,1.0755E+17,51.581,1.7947E+18,51.931,4.8957E+17
52.476,2.2244E+19,52.526,4.9779E+17,52.576,4.5714E+22,52.686,7.9310E+18,52.736,2.7489E+17,52.236,1.0208E+17,52.316,1.9189E+18,52.666,5.1524E+17
53.211,2.2230E+19,53.261,5.1691E+17,53.311,4.3169E+22,53.421,8.8651E+18,53.471,3.0369E+17,52.971,1.0078E+17,53.051,2.0978E+18,53.401,4.8523E+17
53.946,2.2019E+19,53.996,5.0025E+17,54.046,4.4058E+22,54.156,8.5027E+18,54.206,2.9715E+17,53.706,1.0187E+17,53.786,1.9290E+18,54.136,5.0411E+17
54.682,1.8526E+19,54.732,5.2871E+17,54.782,4.6821E+22,54.892,7.8926E+18,54.942,3.0249E+17,54.442,1.0687E+17,54.522,2.0124E+18,54.872,4.9782E+17
55.417,2.0235E+19,55.467,5.1497E+17,55.517,4.9097E+22,55.627,7.6189E+18,55.677,2.6832E+17,55.177,9.8022E+16,55.257,1.9298E+18,55.607,5.6587E+17
56.152,1.8608E+19,56.202,4.7057E+17,56.252,4.5116E+22,56.362,7.9257E+18,56.412,3.3845E+17,55.912,9.5446E+16,55.992,1.7795E+18,56.342,5.1616E+17
56.888,2.2299E+19,56.938,4.4072E+17,56.988,4.5080E+22,57.098,8.0885E+18,57.148,3.2656E+17,56.648,1.0240E+17,56.728,1.9081E+18,57.078,4.9276E+17
57.623,2.0862E+19,57.673,5.1966E+17,57.723,4.0800E+22,57.833,7.6316E+18,57.883,3.2037E+17,57.383,1.0773E+17,57.463,2.0947E+18,57.813,4.9156E+17
58.358,2.0168E+19,58.408,4.4364E+17,58.458,4.4705E+22,58.568,8.1784E+18,58.618,3.1353E+17,58.118,1.0632E+17,58.198,2.0390E+18,58.548,4.6578E+17
59.094,1.9200E+19,59.144,5.0765E+17,59.194,4.5210E+22,59.304,7.8983E+18,59.354,2.8102E+17,58.854,1.0365E+17,58.934,2.0505E+18,59.284,4.8076E+17
59.829,1.9606E+19,59.879,5.4769E+17,59.929,4.4116E+22,60.039,8.1054E+18,60.089,3.1039E+17,59.589,9.8466E+16,59.669,1.9968E+18,60.019,4.9097E+17
60.564,1.9620E+19,60.614,5.0706E+17,60.664,4.2935E+22,60.774,7.9299E+18,60.824,2.9078E+17,60.324,1.0422E+17,60.404,1.9116E+18,60.754,5.3307E+17
61.299,2.1028E+19,61.349,4.9068E+17,61.399,4.4479E+22,61.509,7.8781E+18,61.559,2.6812E+17,61.059,9.5507E+16,61.139,2.0173E+18,61.489,5.0495E+17
62.035,2.0523E+19,62.085,5.0598E+17,62.135,4.1440E+22,62.245,9.1639E+18,62.295,2.9301E+17,61.795,1.0081E+17,61.875,1.9860E+18,62.225,5.0377E+17
62.77,2.1462E+19,62.82,4.9543E+17,62.87,4.3180E+22,62.98,8.4969E+18,63.03,2.9925E+17,62.53,9.3843E+16,62.61,2.0780E+18,62.96,4.7962E+17
63.505,2.0077E+19,63.555,5.0507E+17,63.605,4.4068E+22,63.715,7.8176E+18,63.765,3.0895E+17,63.265,9.6884E+16,63.345,1.9283E+18,63.695,5.2475E+17
64.241,1.7813E+19,64.291,5.3905E+17,64.341,4.3765E+22,64.451,8.5407E+18,64.501,3.0118E+17,64.001,9.7678E+16,64.081,1.9980E+18,64.431,5.1794E+17
64.976,2.1105E+19,65.026,4.8734E+17,65.076,4.3186E+22,65.186,8.0168E+18,65.236,2.8994E+17,64.736,9.8284E+16,64.816,1.8344E+18,65.166,4.5386E+17
65.711,2.1127E+19,65.761,5.4185E+17,65.811,4.7236E+22,65.921,8.5230E+18,65.971,3.4118E+17,65.471,1.0261E+17,65.551,1.9618E+18,65.901,5.1688E+17
66.446,2.0217E+19,66.496,5.2050E+17,66.546,4.5640E+22,66.656,8.2825E+18,66.706,2.9661E+17,66.206,9.8191E+16,66.286,2.0861E+18,66.636,5.0379E+17
67.182,2.0677E+19,67.232,4.8255E+17,67.282,4.6047E+22,67.392,7.9590E+18,67.442,2.8402E+17,66.942,9.9135E+16,67.022,1.9895E+18,67.372,4.7803E+17
67.917,2.0056E+19,67.967,4.7788E+17,68.017,4.7372E+22,68.127,7.4495E+18,68.177,3.1977E+17,67.677,9.5851E+16,67.757,1.9566E+18,68.107,4.9521E+17
68.652,2.0143E+19,68.702,4.7350E+17,68.752,4.4999E+22,68.862,7.6761E+18,68.912,3.0692E+17,68.412,9.8911E+16,68.492,1.9504E+18,68.842,4.9892E+17
69.388,1.9932E+19,69.438,4.8724E+17,69.488,4.1871E+22,69.598,8.1133E+18,69.648,2.8086E+17,69.148,1.0392E+17,69.228,1.9890E+18,69.578,4.8541E+17
70.123,1.8676E+19,70.173,5.1153E+17,70.223,4.5344E+22,70.333,8.1953E+18,70.383,2.7390E+17,69.883,1.2021E+17,69.963,2.1629E+18,70.313,5.4114E+17
70.858,1.9247E+19,70.908,4.6093E+17,70.958,4.5650E+22,71.068,7.8422E+18,71.118,3.0573E+17,70.618,2.5851E+17,70.698,2.0670E+18,71.048,5.1811E+17
71.594,1.7690E+19,71.644,4.8786E+17,71.694,4.6883E+22,71.804,7.5115E+18,71.854,3.0391E+17,71.354,8.5833E+17,71.434,2.0703E+18,71.784,5.0633E+17
72.329,2.0434E+19,72.379,5.3239E+17,72.429,4.4500E+22,72.539,8.3929E+18,72.589,2.8381E+17,72.089,3.2493E+18,72.169,2.1050E+18,72.519,4.9557E+17
73.064,1.9408E+19,73.114,4.6981E+17,73.164,4.2781E+22,73.274,8.3069E+18,73.324,3.3969E+17,72.824,1.1517E+19,72.904,1.8981E+18,73.254,4.9352E+17
73.799,2.0052E+19,73.849,5.1758E+17,73.899,4.3770E+22,74.009,7.9644E+18,74.059,2.9467E+17,73.559,3.7698E+19,73.639,2.0824E+18,73.989,5.1529E+17
74.535,2.0721E+19,74.585,4.8333E+17,74.635,4.3424E+22,74.745,7.3124E+18,74.795,2.9596E+17,74.295,1.2635E+20,74.375,1.9914E+18,74.725,5.0267E+17
75.27,1.9149E+19,75.32,4.6367E+17,75.37,4.6043E+22,75.48,7.2845E+18,75.53,3.3393E+17,75.03,3.0761E+20,75.11,1.9433E+18,75.46,4.5351E+17
76.005,1.9724E+19,76.055,5.1259E+17,76.105,4.5123E+22,76.215,6.5420E+18,76.265,2.9437E+17,75.765,7.3063E+20,75.845,2.1827E+18,76.195,5.0050E+17
76.741,2.0524E+19,76.791,5.1745E+17,76.841,4.3549E+22,76.951,7.3824E+18,77.001,3.1219E+17,76.501,1.4190E+21,76.581,1.8981E+18,76.931,5.1982E+17
77.476,1.8511E+19,77.526,5.1036E+17,77.576,4.6798E+22,77.686,5.8590E+18,77.736,2.9369E+17,77.236,3.0429E+21,77.316,2.1690E+18,77.666,4.9358E+17
78.211,1.8555E+19,78.261,5.1639E+17,78.311,4.4765E+22,78.421,5.8107E+18,78.471,2.9024E+17,77.971,5.3641E+21,78.051,1.9828E+18,78.401,4.5195E+17
78.946,1.9207E+19,78.996,5.4520E+17,79.046,4.2403E+22,79.156,4.9135E+18,79.206,3.1759E+17,78.706,8.5334E+21,78.786,2.0419E+18,79.136,5.2198E+17
79.682,1.8361E+19,79.732,4.8229E+17,79.782,4.0048E+22,79.892,4.2032E+18,79.942,2.9665E+17,79.442,1.2790E+22,79.522,2.0427E+18,79.872,4.8119E+17
80.417,2.1519E+19,80.467,4.7730E+17,80.517,3.8983E+22,80.627,3.4261E+18,80.677,3.2331E+17,80.177,1.7151E+22,80.257,2.1149E+18,80.607,4.7109E+17
81.152,2.0734E+19,81.202,5.2080E+17,81.252,3.8415E+22,81.362,2.7365E+18,81.412,2.8366E+17,80.912,2.1638E+22,80.992,2.0289E+18,81.342,4.7288E+17
81.888,2.0213E+19,81.938,5.2568E+17,81.988,3.6154E+22,82.098,1.8400E+18,82.148,2.9137E+17,81.648,2.6079E+22,81.728,2.0560E+18,82.078,4.8256E+17
82.623,2.1089E+19,82.673,5.4878E+17,82.723,3.7827E+22,82.833,1.2606E+18,82.883,2.6651E+17,82.383,2.9583E+22,82.463,1.8739E+18,82.813,5.2625E+17
83.358,2.0632E+19,83.408,4.9635E+17,83.458,3.6575E+22,83.568,8.4254E+17,83.618,3.0889E+17,83.118,3.1002E+22,83.198,2.0089E+18,83.548,5.0040E+17
84.094,1.9128E+19,84.144,4.9294E+17,84.194,3.7409E+22,84.304,5.8802E+17,84.354,2.9348E+17,83.854,3.3110E+22,83.934,1.9452E+18,84.284,4.8769E+17
84.829,2.1920E+19,84.879,5.2323E+17,84.929,4.1533E+22,85.039,3.7532E+17,85.089,3.1627E+17,84.589,2.8136E+22,84.669,2.1577E+18,85.019,5.3458E+17
85.564,2.0099E+19,85.614,4.8117E+17,85.664,3.7077E+22,85.774,2.1714E+17,85.824,2.9870E+17,85.324,3.0432E+22,85.404,2.0035E+18,85.754,5.1744E+17
86.299,2.0509E+19,86.349,5.3544E+17,86.399,3.8057E+22,86.509,1.3791E+17,86.559,3.1278E+17,86.059,2.8011E+22,86.139,2.0211E+18,86.489,5.2058E+17
87.035,2.1026E+19,87.085,5.1937E+17,87.135,3.7362E+22,87.245,9.4025E+16,87.295,2.9046E+17,86.795,3.2296E+22,86.875,1.9514E+18,87.225,4.6355E+17
87.77,1.9073E+19,87.82,4.9333E+17,87.87,4.6094E+22,87.98,6.5396E+16,88.03,3.0815E+17,87.53,3.5632E+22,87.61,1.8318E+18,87.96,4.9599E+17
88.505,1.9112E+19,88.555,5.2518E+17,88.605,4.2631E+22,88.715,6.3736E+16,88.765,3.0748E+17,88.265,3.0503E+22,88.345,2.0792E+18,88.695,5.4935E+17
89.241,1.9018E+19,89.291,5.1366E+17,89.341,3.8408E+22,89.451,5.2747E+16,89.501,3.1188E+17,89.001,3.3823E+22,89.081,1.8146E+18,89.431,5.2229E+17
89.976,1.9969E+19,90.026,4.7366E+17,90.076,4.1726E+22,90.186,5.0024E+16,90.236,3.1645E+17,89.736,3.0600E+22,89.816,1.9338E+18,90.166,4.6143E+17
90.711,2.0869E+19,90.761,5.3214E+17,90.811,3.6610E+22,90.921,5.0591E+16,90.971,3.0320E+17,90.471,3.4088E+22,90.551,2.0640E+18,90.901,4.8372E+17
91.446,1.9086E+19,91.496,5.0040E+17,91.546,3.5544E+22,91.656,4.7232E+16,91.706,3.0812E+17,91.206,3.1531E+22,91.286,1.9567E+18,91.636,4.9772E+17
92.182,2.0035E+19,92.232,5.2200E+17,92.282,3.9435E+22,92.392,4.5217E+16,92.442,2.8691E+17,91.942,3.0817E+22,92.022,1.8596E+18,92.372,5.2377E+17
92.917,1.9750E+19,92.967,4.8929E+17,93.017,4.1199E+22,93.127,5.1173E+16,93.177,2.6397E+17,92.677,3.1921E+22,92.757,1.9090E+18,93.107,5.0262E+17
93.652,1.8943E+19,93.702,5.1504E+17,93.752,3.8355E+22,93.862,4.8469E+16,93.912,3.3761E+17,93.412,3.0773E+22,93.492,2.1517E+18,93.842,4.9976E+17
94.388,1.9139E+19,94.438,4.9667E+17,94.488,3.8419E+22,94.598,5.1078E+16,94.648,3.0340E+17,94.148,3.0724E+22,94.228,2.0682E+18,94.578,4.7395E+17
95.123,1.9647E+19,95.173,4.2922E+17,95.223,3.6110E+22,95.333,4.9161E+16,95.383,3.1312E+17,94.883,3.0362E+22,94.963,1.9190E+18,95.313,5.1140E+17
95.858,2.0830E+19,95.908,5.4657E+17,95.958,3.9046E+22,96.068,4.8745E+16,96.118,2.9988E+17,95.618,3.3549E+22,95.698,1.9096E+18,96.048,5.2192E+17
96.594,1.9631E+19,96.644,4.7370E+17,96.694,3.4467E+22,96.804,4.8493E+16,96.854,2.8053E+17,96.354,3.2211E+22,96.434,1.8695E+18,96.784,4.9559E+17
97.329,2.0062E+19,97.379,4.7419E+17,97.429,3.6706E+22,97.539,4.8133E+16,97.589,3.0610E+17,97.089,3.1562E+22,97.169,2.0721E+18,97.519,5.1977E+17
98.064,2.0558E+19,98.114,5.4208E+17,98.164,3.7726E+22,98.274,5.2151E+16,98.324,2.9657E+17,97.824,3.2690E+22,97.904,2.0349E+18,98.254,5.2311E+17
98.799,1.9824E+19,98.849,5.3398E+17,98.899,3.8068E+22,99.009,4.8237E+16,99.059,2.9056E+17,98.559,3.2946E+22,98.639,1.9338E+18,98.989,4.8563E+17
99.535,2.1048E+19,99.585,5.0561E+17,99.635,3.6453E+22,99.745,5.0938E+16,99.795,2.9977E+17,99.295,2.9710E+22,99.375,1.9317E+18,99.725,5.0087E+17
100.27,2.1014E+19,100.32,5.0470E+17,100.37,3.5175E+22,100.48,4.9838E+16,100.53,2.7628E+17,100.03,3.1385E+22,100.11,1.8694E+18,100.46,4.8623E+17
101.01,1.9051E+19,101.06,4.9810E+17,101.11,3.8882E+22,101.22,5.2339E+16,101.27,3.0305E+17,100.77,3.0093E+22,100.85,2.2350E+18,101.2,5.2994E+17
101.74,1.9989E+19,101.79,4.8217E+17,101.84,3.7427E+22,101.95,5.1867E+16,102,2.8820E+17,101.5,3.1159E+22,101.58,1.9135E+18,101.93,5.0445E+17
102.48,1.9649E+19,102.53,4.8602E+17,102.58,3.8488E+22,102.69,5.1755E+16,102.74,3.1269E+17,102.24,3.3363E+22,102.32,2.0570E+18,102.67,5.0815E+17
103.21,1.8317E+19,103.26,5.0886E+17,103.31,3.4488E+22,103.42,4.8376E+16,103.47,2.8165E+17,102.97,2.9802E+22,103.05,2.0769E+18,103.4,5.2680E+17
