SIMS Test Lab Corp.
:Sample SYNTH-001 (Synthetic TaN/Si)
03/17/2026
Drawn Curves,8
Num of Cycles,50

H,,C,,O,,F,,N,,AL->,,Si->,,Ta->
14.96490,8.34086e+20,15.01408,2e+18,15.06694,1.13601e+18,15.16898,4.27801e+17,15.21816,8.49237e+20,14.69102,42.3051,14.78041,0.171693,15.01163,87.4739
15.47165,8.28788e+20,15.52088,2e+18,15.57359,1.11006e+18,15.67553,4.22702e+17,15.72476,8.48603e+20,15.19647,42.2556,15.28639,0.218854,15.51355,87.1499
15.97841,8.24314e+20,16.02767,2e+18,16.08024,1.24194e+18,16.18208,4.18538e+17,16.23135,8.47553e+20,15.70192,42.1804,15.79237,0.296975,16.01547,86.7011
16.48516,8.20535e+20,16.53447,2e+18,16.58690,2.21929e+18,16.68863,4.15138e+17,16.73794,8.45816e+20,16.20737,42.0663,16.29835,0.426273,16.51739,86.0817
16.99192,8.17344e+20,17.04127,2e+18,17.09355,6.88235e+18,17.19518,4.12362e+17,17.24453,8.42949e+20,16.71282,41.8936,16.80433,0.639976,17.01931,85.2309
17.49867,8.14648e+20,17.54806,2e+18,17.60020,2.34811e+19,17.70173,4.10094e+17,17.75112,8.38233e+20,17.21827,41.6332,17.31031,0.99237,17.52122,84.0699
18.00543,8.12371e+20,18.05486,2e+18,18.10686,6.76616e+19,18.20829,4.08243e+17,18.25771,8.30521e+20,17.72371,41.2426,17.81629,1.57127,18.02314,82.4997
18.51218,8.10449e+20,18.56165,2e+18,18.61351,1.53984e+20,18.71484,4.06731e+17,18.76431,8.18032e+20,18.22916,40.6615,18.32227,2.51637,18.52506,80.4015
19.01894,8.08825e+20,19.06845,2e+18,19.12016,2.72626e+20,19.22139,4.05496e+17,19.27090,7.98114e+20,18.73461,39.8071,18.82824,4.04377,19.02698,77.6428
19.52569,8.07453e+20,19.57524,2e+18,19.62682,3.74097e+20,19.72794,4.04488e+17,19.77749,7.67115e+20,19.24006,38.5727,19.33422,6.47229,19.52890,74.0915
20.03245,8.06295e+20,20.08204,2e+18,20.13347,3.97455e+20,20.23449,4.03665e+17,20.28408,7.20662e+20,19.74551,36.8336,19.84020,10.2351,20.03082,69.6422
20.53920,8.05316e+20,20.58884,2e+18,20.64012,3.269e+20,20.74104,4.02993e+17,20.79067,6.54853e+20,20.25096,34.4685,20.34618,15.8382,20.53273,64.2537
21.04596,8.0449e+20,21.09563,2e+18,21.14678,2.08249e+20,21.24759,4.02444e+17,21.29727,5.68675e+20,20.75641,31.4019,20.85216,23.7067,21.03465,57.9892
21.55271,8.03792e+20,21.60243,2e+18,21.65343,1.02958e+20,21.75414,4.01996e+17,21.80386,4.66747e+20,21.26186,27.6625,21.35814,33.893,21.53657,51.0434
22.05947,8.03203e+20,22.10922,2e+18,22.16008,3.9803e+19,22.26069,4.0163e+17,22.31045,3.59754e+20,21.76731,23.4297,21.86412,45.7761,22.03849,43.7355
22.56622,8.02705e+20,22.61602,2e+18,22.66673,1.24244e+19,22.76724,4.01331e+17,22.81704,2.60633e+20,22.27276,19.0236,22.37010,58.0654,22.54041,36.4586
23.07298,8.02285e+20,23.12282,2e+18,23.17339,3.60213e+18,23.27380,4.01087e+17,23.32363,1.78882e+20,22.77820,14.8197,22.87608,69.2889,23.04233,29.5994
23.57973,8.0193e+20,23.62961,2e+18,23.68004,1.45856e+18,23.78035,4.00887e+17,23.83022,1.1768e+20,23.28365,11.1292,23.38206,78.4335,23.54424,23.46
24.08649,8.0163e+20,24.13641,2e+18,24.18669,1.06256e+18,24.28690,4.00725e+17,24.33682,7.51015e+19,23.78910,8.11892,23.88804,85.2161,24.04616,18.2145
24.59324,8.01376e+20,24.64320,2e+18,24.69335,1.00663e+18,24.79345,4.00592e+17,24.84341,4.69696e+19,24.29455,5.80717,24.39402,89.9043,24.54808,13.9076
25.10000,8.01162e+20,25.15000,2e+18,25.20000,1.00057e+18,25.30000,4.00483e+17,25.35000,2.90109e+19,24.80000,4.11279,24.90000,92.989,25.05000,10.4858
